"Customer_ID","Gender","Age","Score","Tenure","Salary","Balance","Products_in_Use","Left"
15647311,"Female",41,608,1,112542.58,83807.86,1,0
15737888,"Female",43,850,2,79084.1,125510.82,1,0
15574012,"Male",44,645,8,149756.71,113755.78,2,1
15737173,"Male",24,497,3,76390.01,0,2,0
15600882,"Female",35,635,7,65951.65,0,2,0
15788218,"Female",24,549,9,14406.41,0,2,0
15661507,"Male",45,587,6,158684.81,0,1,0
15597945,"Female",32,636,8,138555.46,0,2,0
15699309,"Female",38,510,4,118913.53,0,1,1
15589475,"Female",39,591,3,140469.38,0,3,1
15659428,"Female",42,520,6,34410.55,0,2,0
15732963,"Female",29,722,9,142033.07,0,2,0
15788448,"Male",31,490,3,114066.77,145260.23,1,0
15729599,"Male",33,804,7,98453.45,76548.6,1,0
15619360,"Male",40,472,4,70154.22,0,1,0
15684171,"Female",61,660,5,158338.39,155931.11,1,0
15623944,"Female",66,511,4,1643.11,0,1,1
15702014,"Male",33,555,1,178798.13,56084.69,2,0
15751208,"Male",56,684,8,99398.36,78707.16,1,0
15812518,"Female",37,657,NA,44203.55,163607.18,1,0
15575185,"Male",33,757,5,194239.63,77253.22,1,0
15805254,"Female",75,652,10,114675.75,0,2,0
15762418,"Male",22,750,3,128643.35,121681.82,1,1
15757535,"Female",44,647,5,174205.22,0,3,1
15676966,"Male",42,730,4,85982.47,0,2,0
15699461,"Male",35,515,10,121277.78,176273.95,1,0
15738721,"Male",41,773,9,64595.25,102827.44,1,0
15604348,"Male",22,710,8,99645.04,0,2,0
15776605,"Male",36,528,7,60536.56,0,2,0
15804919,"Female",65,670,1,177655.68,0,1,1
15613854,"Female",46,622,4,30984.59,107073.27,2,1
15602312,"Male",33,605,5,71862.79,150092.8,1,0
15591100,"Male",36,675,9,22994.32,106190.55,1,0
15580203,"Male",39,674,6,100130.95,120193.42,1,0
15594408,"Female",48,584,2,75161.25,213146.2,1,1
15640905,"Female",35,579,1,8590.83,129490.36,2,1
15713483,"Male",52,793,2,159123.82,0,1,1
15800703,"Female",21,485,5,54141.5,113157.22,1,0
15705707,"Female",29,635,8,141075.51,138296.94,2,0
15650237,"Female",32,754,7,89520.75,0,2,0
15811589,"Male",42,716,8,180800.42,0,2,0
15679145,"Male",57,706,7,17941.16,0,1,1
15623595,"Female",28,586,2,92067.35,0,2,0
15692132,"Female",22,717,6,84699.56,101060.25,1,0
15680772,"Female",36,721,2,106977.8,0,2,0
15658929,"Male",29,683,NA,55582.54,133702.89,1,1
15588537,"Female",41,615,9,196499.96,109013.23,1,0
15574692,"Female",39,667,2,40721.24,0,2,1
15755209,"Female",35,484,7,27286.1,133868.21,1,0
15762615,"Female",40,597,8,94774.12,101993.12,1,0
15716334,"Female",45,850,2,19482.5,122311.21,1,0
15708710,"Female",37,525,NA,131521.72,0,1,0
15726676,"Male",30,616,5,196108.51,0,2,0
15679200,"Male",29,580,9,128077.8,61710.44,2,0
15635905,"Female",32,616,6,43001.46,0,2,0
15604482,"Male",30,850,2,5978.2,141040.01,1,0
15600974,"Male",50,516,5,146145.93,0,1,1
15627801,"Male",33,512,3,94670.77,176666.62,1,0
15755262,"Female",41,608,3,199304.74,89763.84,1,1
15786308,"Female",33,730,9,176576.62,0,2,0
15787155,"Male",30,514,7,125010.24,0,1,0
15812009,"Male",38,662,4,136259.65,0,2,0
15576269,"Male",34,523,7,62030.06,0,2,0
15753754,"Female",34,587,1,97932.68,0,2,0
15665834,"Male",28,696,8,176713.47,0,1,0
15765297,"Male",41,766,NA,34283.23,0,2,0
15673481,"Female",48,726,6,64323.24,99906.19,1,0
15700696,"Male",31,738,9,18606.23,79019.8,1,0
15813163,"Female",36,531,9,123137.01,99240.51,1,0
15717398,"Female",39,549,7,81259.25,0,1,1
15787071,"Male",41,650,9,191599.67,0,2,0
15758685,"Female",37,706,7,110899.3,0,2,0
15669169,"Male",29,775,10,68143.93,0,2,0
15573112,"Male",29,602,5,161229.84,103907.28,1,0
15727556,"Female",26,744,5,181694.44,166297.89,1,0
15697307,"Male",34,588,10,79078.91,0,2,0
15607098,"Female",41,747,5,194926.86,94521.17,2,0
15590241,"Female",34,750,9,150401.53,112822.26,1,1
15684173,"Female",44,687,7,155853.52,0,3,1
15682541,"Female",36,616,6,15462.84,132311.71,1,0
